CUISINE_TYPE,RECIPE_ID
mediterranean,483285
european,483285
italian,483285
cajun,576618
creol,576618
mediterranean,384290
european,384290
italian,384290
mediterranean,551013
european,551013
french,551013
middl eastern,506691
southern,71007
mexican,618728
american,595010
southern,605643
european,587917
english,587917
british,587917
scottish,587917
southern,638940
mediterranean,176900
european,176900
italian,176900
greek,47508
mediterranean,47508
european,47508
southern,140542
mexican,248317
jewish,481170
southern,541288
mexican,58142
mexican,592372
mediterranean,515983
european,515983
italian,515983
european,224612
english,224612
british,224612
scottish,224612
mexican,557817
greek,791778
mediterranean,791778
european,791778
american,63833
european,56198
english,56198
british,56198
scottish,56198
american,526870
mexican,517022
mediterranean,616091
european,616091
italian,616091
asian,603425
thai,603425
japanes,755483
asian,755483
southern,209485
mexican,198150
european,292581
eastern european,292581
mediterranean,225404
european,225404
french,225404
cajun,552543
creol,552543
american,583740
mexican,693188
asian,696674
korean,696674
mediterranean,492431
european,492431
italian,492431
american,588852
american,571132
european,478388
english,478388
british,478388
scottish,478388
american,115786
mediterranean,40269
european,40269
french,40269
mediterranean,547676
european,547676
italian,547676
mexican,608896
southern,504447
american,556255
american,508068
german,416861
european,416861
cajun,57403
creol,57403
mediterranean,330271
european,330271
french,330271
jewish,623109
american,553031
american,549619
mediterranean,10494
european,10494
italian,10494
mexican,225212
american,562808
mediterranean,690777
european,690777
italian,690777
asian,201792
thai,201792
greek,23217
mediterranean,23217
european,23217
japanes,562083
asian,562083
american,63544
american,129449
mediterranean,507421
european,507421
french,507421
mediterranean,685902
european,685902
italian,685902
southern,443853
jewish,408270
american,508025
american,546690
european,536440
english,536440
british,536440
scottish,536440
american,227980
american,493830
mexican,506877
south american,801152
latin american,801152
european,78801
irish,78801
mexican,78287
mediterranean,524056
european,524056
